Year,Week_Number,mean_return,volatility,Label
2015,0,0,0,
2015,1,-1.1108,1.15720102,
2015,2,0.478,0.779911213,
2015,3,1.5405,1.464513913,
2015,4,-0.1678,2.951305847,
2015,5,-0.128,0.997982966,
2015,6,0.6734,1.005324475,
2015,7,-0.45925,0.734772244,
2015,8,0.7184,1.292598275,
2015,9,0.3372,1.308414384,
2015,10,-0.7212,1.287190623,
2015,11,0.4758,0.969229178,
2015,12,-0.4236,1.521212444,
2015,13,-0.5865,0.870931494,
2015,14,0.1678,0.415174301,
2015,15,-0.594,1.056825672,
2015,16,1.5254,1.326418788,
2015,17,-0.9228,0.89373693,
2015,18,0.0206,1.479975777,
2015,19,-0.1576,1.130815325,
2015,20,0.235,0.590543394,
2015,21,-0.3655,1.35802025,
2015,22,0.0478,0.696899706,
2015,23,-0.0322,1.164015335,
2015,24,0.166,0.845426815,
2015,25,-0.186,0.498942883,
2015,26,-0.388,1.040827555,
2015,27,0.262,1.237013339,
2015,28,5.0316,6.325781161,
2015,29,-1.5038,1.45426741,
2015,30,0.0676,0.700361549,
2015,31,0.3148,1.330495847,
2015,32,0.6932,2.008831426,
2015,33,-1.3718,2.484896618,
2015,34,0.656,4.492963777,
2015,35,-0.9392,2.262733347,
2015,36,1.03175,1.11516587,
2015,37,0.1204,1.536498715,
2015,38,-0.5464,1.474130693,
2015,39,0.502,2.144339059,
2015,40,0.5326,1.153378212,
2015,41,0.5732,0.710215601,
2015,42,1.2334,3.909905984,
2015,43,0.2538,0.978861686,
2015,44,0.6386,0.515813241,
2015,45,-0.4554,1.193906738,
2015,46,1.0882,1.354128391,
2015,47,-0.209,0.562782966,
2015,48,0.4534,2.029558154,
2015,49,-0.7378,0.627706699,
2015,50,0.021,1.485102353,
2015,51,0.307,0.60201052,
2015,52,0.36,1.773974258,
2016,1,-1.1926,1.226735628,
2016,2,-0.5416,2.500748948,
2016,3,1.09675,1.273379853,
2016,4,0.511,2.638479865,
2016,5,-1.6174,2.925746195,
2016,6,-0.033,0.567141076,
2016,7,0.68225,1.708877287,
2016,8,0.1224,0.985506114,
2016,9,0.1754,1.647203782,
2016,10,0.4558,1.698391798,
2016,11,0.296,0.522556695,
2016,12,-0.07725,0.46598167,
2016,13,0.3974,0.895628997,
2016,14,-0.286,0.817357939,
2016,15,0.533,0.638798482,
2016,16,-1.0552,2.608788167,
2016,17,-0.7208,1.292426284,
2016,18,0.5198,0.826475166,
2016,19,-0.0048,0.939396455,
2016,20,-0.0254,1.150080128,
2016,21,0.643,1.17608078,
2016,22,-0.3525,0.633246924,
2016,23,-0.0766,1.09942635,
2016,24,-0.7768,1.152860659,
2016,25,-0.4676,1.867946279,
2016,26,0.705,1.056238846,
2016,27,0.23225,0.934614136,
2016,28,0.402,0.738380999,
2016,29,0.6306,0.821746494,
2016,30,0.6994,1.384854794,
2016,31,0.3488,0.658859393,
2016,32,0.0258,0.193142952,
2016,33,-0.1996,0.375223,
2016,34,-0.152,0.202293104,
2016,35,0.0506,0.354272917,
2016,36,-0.37825,1.313144667,
2016,37,0.2462,1.053573301,
2016,38,0.4666,0.713317461,
2016,39,-0.241,1.052026378,
2016,40,-0.0564,0.406492066,
2016,41,0.0922,0.898782899,
2016,42,0.5334,0.933645168,
2016,43,-0.0956,1.084921103,
2016,44,-0.8506,0.806881838,
2016,45,-0.1928,2.131469845,
2016,46,0.1906,2.125723947,
2016,47,0.04025,0.858771749,
2016,48,-0.2904,1.128502902,
2016,49,1.0164,0.91389239,
2016,50,0.0396,0.621759037,
2016,51,-0.022,0.359549023,
2016,52,-0.5755,0.69239897,
2017,1,1.09625,0.773991118,
2017,2,0.0432,0.260289646,
2017,3,-0.088,0.418379413,
2017,4,0.4562,1.201664554,
2017,5,-0.5296,1.209637053,
2017,6,0.3026,0.294423674,
2017,7,0.352,0.36323202,
2017,8,0.01775,0.320674679,
2017,9,0.0134,0.868194851,
2017,10,0.3398,0.284265193,
2017,11,0.2096,0.140717092,
2017,12,-0.898,0.849724661,
2017,13,0.3704,0.595959982,
2017,14,-0.1166,0.672218938,
2017,15,-0.0335,0.123608252,
2017,16,0.474,0.678221571,
2017,17,1.4556,1.521454501,
2017,18,0.4646,0.603377825,
2017,19,0.1102,0.44440432,
2017,20,0.0468,1.440781455,
2017,21,0.7904,0.479061374,
2017,22,0.10925,0.871995556,
2017,23,-0.5222,1.715399866,
2017,24,-0.21,0.789346248,
2017,25,0.5476,1.026025731,
2017,26,-1.196,1.614299229,
2017,27,0.27625,1.295531905,
2017,28,0.8024,0.549812513,
2017,29,0.3536,0.646834446,
2017,30,-0.6432,1.618071136,
2017,31,-0.2882,0.652684227,
2017,32,-0.291,0.915597892,
2017,33,-0.0774,1.003844012,
2017,34,0.1194,1.102707259,
2017,35,0.4658,0.631087712,
2017,36,-0.2875,0.887331017,
2017,37,-0.1328,0.633974526,
2017,38,0.1804,0.712405994,
2017,39,0.6544,1.061533231,
2017,40,0.4138,1.082235048,
2017,41,0.2224,0.863001912,
2017,42,-0.0292,0.476684067,
2017,43,0.6456,2.505797238,
2017,44,0.2588,0.480574344,
2017,45,-0.0834,0.71956327,
2017,46,-0.1724,0.883838956,
2017,47,0.52575,0.735693947,
2017,48,-0.584,1.384858657,
2017,49,0.5306,0.988370781,
2017,50,0.5196,0.619899427,
2017,51,-0.0744,0.745639524,
2017,52,-0.32475,0.262656144,
2018,0,1.3095,0.645212368,
2018,1,0.3628,0.706880966,
2018,2,0.339,0.540370243,
2018,3,0.6676,0.805756663,
2018,4,-1.0932,2.133709493,
2018,5,-1.3054,4.014828552,
2018,6,1.078,0.793420443,
2018,7,0.72575,0.918446651,
2018,8,-0.8484,2.00138497,
2018,9,1.464,0.968077476,
2018,10,-0.4158,1.307406096,
2018,11,-2.086,1.598758894,
2018,12,0.2965,3.533592176,
2018,13,-0.4736,1.648288597,
2018,14,0.4426,1.134326364,
2018,15,0.848,1.821325204,
2018,16,-0.7914,2.305281393,
2018,17,0.3622,1.732400993,
2018,18,0.9426,1.153837207,
2018,19,-0.5844,0.919805034,
2018,20,0.177,0.893231213,
2018,21,1.0175,1.923550277,
2018,22,0.029,1.068171335,
2018,23,0.5562,0.756365785,
2018,24,0.0606,1.086389341,
2018,25,-0.6916,1.371676092,
2018,26,0.55825,1.860292697,
2018,27,0.8436,1.085661457,
2018,28,-0.0636,0.773351343,
2018,29,0.9072,2.15719568,
2018,30,-0.2376,0.77424983,
2018,31,0.229,0.832964285,
2018,32,-0.5952,1.026687489,
2018,33,0.3276,0.689405396,
2018,34,-0.031,1.535370802,
2018,35,-1.1125,0.507299057,
2018,36,0.1358,0.979815901,
2018,37,-0.1026,1.389867008,
2018,38,0.467,0.669488237,
2018,39,-0.605,1.380638258,
2018,40,-0.7982,2.822015627,
2018,41,-0.2304,2.025549629,
2018,42,-0.4144,3.372041859,
2018,43,-0.2142,3.251487613,
2018,44,0.1782,2.283242256,
2018,45,-0.0758,1.68775404,
2018,46,-0.878,2.280374531,
2018,47,1.3546,1.817183067,
2018,48,-1.3085,3.243705854,
2018,49,0.1126,1.24391732,
2018,50,-1.2196,1.646893834,
2018,51,1.47825,3.363675507,
2018,52,-0.142,0,
2019,0,1.173333333,4.11659645,1
2019,1,-0.2522,0.701231559,0
2019,2,0.7746,1.53680978,1
2019,3,-0.1545,1.738129742,0
2019,4,0.377,2.090247234,1
2019,5,-0.2696,1.899943499,0
2019,6,0.3428,1.198668928,1
2019,7,-0.0685,1.17382466,0
2019,8,0.548,0.780667022,1
2019,9,0.027,0.949564374,1
2019,10,0.7354,1.457302062,1
2019,11,0.3628,1.589020044,1
2019,12,-0.5382,0.591160469,0
2019,13,0.5732,0.872193614,1
2019,14,0.1788,0.639250108,1
2019,15,0.378,0.319755115,1
2019,16,0.575,0.747266017,1
2019,17,-1.342,3.831148327,0
2019,18,-0.3574,0.65416076,0
2019,19,-0.0064,2.626450418,0
2019,20,-0.496,1.121228567,0
2019,21,-0.662,0.883718281,0
2019,22,-0.6462,3.288532454,0
2019,23,0.362,0.788807011,1
2019,24,0.6652,0.456457227,1
2019,25,-0.7362,1.133974956,0
2019,26,1.15225,0.316301939,1
2019,27,0.2382,1.0190342,1
2019,28,-0.2576,0.769991753,0
2019,29,2.1272,4.699793634,1
2019,30,-0.9188,0.271651799,0
2019,31,-0.077,2.420691637,0
2019,32,-0.1628,1.819912553,0
2019,33,-0.4358,1.923356103,0
2019,34,0.6354,1.004260823,1
2019,35,0.365,1.842079441,1
2019,36,0.5696,0.568835038,1
2019,37,-0.1548,0.545067152,0
2019,38,-0.0702,1.474738519,0
2019,39,-0.253,1.649805746,0
2019,40,0.1106,1.01639574,1
2019,41,0.4936,1.031980039,1
2019,42,0.3148,0.599115765,1
2019,43,0.1454,1.537280001,1
2019,44,0.586,0.704149487,1
2019,45,0.3602,1.058378335,1
2019,46,-0.5988,0.39122845,0
2019,47,0.1865,0.653264877,1
2019,48,0.5456,1.121471489,1
2019,49,0.1074,0.213659308,1
2019,50,0.0278,0.611925812,1
2019,51,0.045,0.838610358,1
2019,52,-0.5495,0.870448448,1
2020,0,0.8895,1.952321823,1
2020,1,0.9986,0.925278228,1
2020,2,0.702,0.909749141,1
2020,3,-0.22975,0.74690623,0
2020,4,-0.4386,1.427268475,0
2020,5,0.641,2.322131241,1
2020,6,0.5578,0.868944014,1
2020,7,-0.58575,1.139208607,0
2020,8,-2.0092,2.970924469,0
2020,9,-0.557,3.92155422,0
2020,10,-0.998,7.853464522,0
2020,11,-2.4102,5.630129723,0
2020,12,0.8134,5.225851251,1
2020,13,-0.1888,3.263861471,0
2020,14,2.54375,3.825880585,1
2020,15,1.172,1.880180709,1
2020,16,-0.0282,2.889956609,0
2020,17,0.7236,4.727035255,1
2020,18,1.0092,0.922769581,1
2020,19,-0.2094,1.604559379,0
2020,20,0.5424,1.218730405,1
2020,21,0.327,0.424403896,1
2020,22,0.1388,1.278176514,1
2020,23,-0.3338,2.178409902,0
2020,24,0.265,0.998092431,1
2020,25,-0.988,2.962341388,0
2020,26,1.87425,0.519032674,1
2020,27,1.0358,1.14933968,1
