Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
527.5615845,529.8153687,522.6650391,523.3731079,523.3731079,1447563,0,02-01-2015,0,2015,2,Friday,0,0
521.8273315,522.8944092,511.6552429,512.4630127,512.4630127,2059840,-2.085,05-01-2015,1,2015,5,Monday,-1.1108,1.15720102
513.5899658,514.7617188,499.6781311,500.5856323,500.5856323,2899940,-2.318,06-01-2015,1,2015,6,Tuesday,-1.1108,1.15720102
505.6118469,505.8551636,498.2819519,499.7279968,499.7279968,2065054,-0.171,07-01-2015,1,2015,7,Wednesday,-1.1108,1.15720102
496.6265259,502.1014709,489.6556396,501.3036804,501.3036804,3353582,0.315,08-01-2015,1,2015,8,Thursday,-1.1108,1.15720102
503.3779907,503.5375366,493.4352722,494.8114929,494.8114929,2071371,-1.295,09-01-2015,1,2015,9,Friday,-1.1108,1.15720102
493.5848694,494.6180115,486.2250671,491.201416,491.201416,2326771,-0.73,12-01-2015,2,2015,12,Monday,0.478,0.779911213
497.4741821,501.6028442,491.0418396,494.8214722,494.8214722,2370490,0.737,13-01-2015,2,2015,13,Tuesday,0.478,0.779911213
493.2956543,501.8521729,491.650177,499.4986267,499.4986267,2235721,0.945,14-01-2015,2,2015,14,Wednesday,0.478,0.779911213
504.1857605,504.2954712,496.3971558,500.4161072,500.4161072,2715836,0.184,15-01-2015,2,2015,15,Thursday,0.478,0.779911213
498.6409912,506.798584,498.631012,506.6888733,506.6888733,2298293,1.254,16-01-2015,2,2015,16,Friday,0.478,0.779911213
509.6008911,511.0967712,504.6305237,505.5121155,505.5121155,2232011,-0.232,20-01-2015,3,2015,20,Tuesday,1.5405,1.464513913
505.861145,517.8582153,504.8140259,516.6216431,516.6216431,2268712,2.198,21-01-2015,3,2015,21,Wednesday,1.5405,1.464513913
520.0521851,534.8615112,518.2770996,532.9268188,532.9268188,2676929,3.156,22-01-2015,3,2015,22,Thursday,1.5405,1.464513913
534.1235352,540.6855469,531.5406494,538.4716187,538.4716187,2281747,1.04,23-01-2015,3,2015,23,Friday,1.5405,1.464513913
537.055542,537.524231,528.2197876,533.7446289,533.7446289,1543727,-0.878,26-01-2015,4,2015,26,Monday,-0.1678,2.951305847
528.5189209,529.2469482,516.7711792,517.210022,517.210022,1904013,-3.098,27-01-2015,4,2015,27,Tuesday,-0.1678,2.951305847
521.3486328,521.5580444,508.6036377,508.6036377,508.6036377,1683810,-1.664,28-01-2015,4,2015,28,Wednesday,-0.1678,2.951305847
509.6008911,509.6906433,499.8277283,509.2618103,509.2618103,4186362,0.129,29-01-2015,4,2015,29,Thursday,-0.1678,2.951305847
514.4475708,538.3918457,514.1085205,533.0565186,533.0565186,5606350,4.672,30-01-2015,4,2015,30,Friday,-0.1678,2.951305847
530.2741089,531.5406494,517.130249,527.03302,527.03302,2849803,-1.13,02-02-2015,5,2015,2,Monday,-0.128,0.997982966
526.5543213,531.9395752,521.8273315,527.7909546,527.7909546,2038682,0.144,03-02-2015,5,2015,3,Tuesday,-0.128,0.997982966
527.7909546,531.213562,519.8427734,521.3286743,521.3286743,1663655,-1.224,04-02-2015,5,2015,4,Wednesday,-0.128,0.997982966
522.355896,527.0529785,520.6605225,526.135498,526.135498,1849765,0.922,05-02-2015,5,2015,5,Thursday,-0.128,0.997982966
526.1953125,535.729126,524.968689,529.5461426,529.5461426,1763529,0.648,06-02-2015,5,2015,6,Friday,-0.128,0.997982966
526.5543213,530.543396,524.5797729,526.3848267,526.3848267,1267771,-0.597,09-02-2015,6,2015,9,Monday,0.6734,1.005324475
527.850769,536.2277832,525.4772949,535.4698486,535.4698486,1749891,1.726,10-02-2015,6,2015,10,Tuesday,0.6734,1.005324475
533.8343506,536.975708,531.9176025,534.5025024,534.5025024,1377772,-0.181,11-02-2015,6,2015,11,Wednesday,0.6734,1.005324475
535.7789917,543.3283081,533.2090454,541.4434814,541.4434814,1620236,1.299,12-02-2015,6,2015,12,Thursday,0.6734,1.005324475
541.8623047,548.4043579,541.6429443,547.5068359,547.5068359,1900303,1.12,13-02-2015,6,2015,13,Friday,0.6734,1.005324475
545.3327637,548.4940796,539.6085205,541.3536987,541.3536987,1616827,-1.124,17-02-2015,7,2015,17,Tuesday,-0.45925,0.734772244
539.9176636,543.99646,536.0383301,538.22229,538.22229,1453079,-0.578,18-02-2015,7,2015,18,Wednesday,-0.45925,0.734772244
536.5668335,541.6229858,536.5369263,541.383606,541.383606,989108,0.587,19-02-2015,7,2015,19,Thursday,-0.45925,0.734772244
541.6429443,542.2612305,534.3330078,537.4743652,537.4743652,1444355,-0.722,20-02-2015,7,2015,20,Friday,-0.45925,0.734772244
534.5822754,534.9702148,527.9605103,530.4536133,530.4536133,1457892,-1.306,23-02-2015,8,2015,23,Monday,0.7184,1.292598275
528.5488892,535.3202515,526.8036499,534.6221924,534.6221924,1005052,0.786,24-02-2015,8,2015,24,Tuesday,0.7184,1.292598275
534.4327393,544.7244873,533.9789429,542.3809204,542.3809204,1826000,1.451,25-02-2015,8,2015,25,Wednesday,0.7184,1.292598275
541.7227173,554.6173096,540.017395,553.9591064,553.9591064,2311529,2.135,26-02-2015,8,2015,26,Thursday,0.7184,1.292598275
552.7224731,563.1638184,551.3861694,556.8710938,556.8710938,2410199,0.526,27-02-2015,8,2015,27,Friday,0.7184,1.292598275
558.9953003,570.5834351,557.2201538,569.7756958,569.7756958,2129631,2.317,02-03-2015,9,2015,2,Monday,0.3372,1.308414384
568.8881226,573.8145752,564.9688721,572.069397,572.069397,1704768,0.403,03-03-2015,9,2015,3,Tuesday,0.3372,1.308414384
570.3042603,575.5299072,566.4547729,571.8001099,571.8001099,1876839,-0.047,04-03-2015,9,2015,4,Wednesday,0.3372,1.308414384
573.4456177,576.3276978,571.8400269,573.7547607,573.7547607,1389605,0.342,05-03-2015,9,2015,5,Thursday,0.3372,1.308414384
573.3059692,575.1010742,565.2081909,566.1306763,566.1306763,1659143,-1.329,06-03-2015,9,2015,6,Friday,0.3372,1.308414384
565.3079224,568.7086182,561.9920654,567.2924805,567.2924805,1062108,0.205,09-03-2015,10,2015,9,Monday,-0.7212,1.287190623
562.7050781,563.3034668,553.2111816,553.4904175,553.4904175,1792307,-2.433,10-03-2015,10,2015,10,Tuesday,-0.7212,1.287190623
553.6200562,556.6118164,549.1722412,549.6708984,549.6708984,1820785,-0.69,11-03-2015,10,2015,11,Wednesday,-0.7212,1.287190623
